Feature,Coefficient,Abs Importance
n_played_t1_3,-0.1169578715625875,0.1169578715625875
otp,-0.07416536342853425,0.07416536342853425
opener_avg_lift,0.0704592346924674,0.0704592346924674
deck_n_risky,-0.06838829343533598,0.06838829343533598
opener_max_lift,0.06675019143650468,0.06675019143650468
deck_avg_lift,0.06638783731323233,0.06638783731323233
mulligan_count,0.05470676010537261,0.05470676010537261
deck_max_lift,0.04475616693515007,0.04475616693515007
