turn,outcome,games,inked_count,ink_rate
1,Loss,459,213,0.46405228758169936
1,Win,678,338,0.49852507374631266
2,Loss,459,297,0.6470588235294118
2,Win,678,422,0.6224188790560472
3,Loss,459,295,0.6427015250544662
3,Win,678,422,0.6224188790560472
4,Loss,459,276,0.6013071895424836
4,Win,678,400,0.5899705014749262
