card_name_a,card_name_b,games,wins,win_rate,win_lift_vs_baseline
Sapphire Coil,The Sword of Shan-Yu,8,7,0.875,0.2786939313984169
Sisu - Daring Visitor,The Sword of Shan-Yu,8,7,0.875,0.2786939313984169
Lucky Dime,Unconventional Tool,87,76,0.8735632183908046,0.27725714978922156
Ruby Chromicon,Unconventional Tool,23,20,0.8695652173913043,0.27325914878972124
Fishbone Quill,Lucky Dime,130,113,0.8692307692307693,0.27292470062918617
Basil's Magnifying Glass,Sisu - Empowered Sibling,144,125,0.8680555555555556,0.2717494869539725
Gold Coin,Lucky Dime,67,58,0.8656716417910447,0.26936557318946164
Akood et Emuti,Diablo - Maleficent's Spy,7,6,0.8571428571428571,0.260836788541274
Belle - Apprentice Inventor,The Sword of Shan-Yu,7,6,0.8571428571428571,0.260836788541274
Diablo - Devoted Herald,Prince John - Greediest of All,7,6,0.8571428571428571,0.260836788541274
Diablo - Devoted Herald,Sudden Chill,7,6,0.8571428571428571,0.260836788541274
Fishbone Quill,Galactic Communicator,7,6,0.8571428571428571,0.260836788541274
Fishbone Quill,Great Stone Dragon,7,6,0.8571428571428571,0.260836788541274
Fishbone Quill,The Sword of Shan-Yu,7,6,0.8571428571428571,0.260836788541274
Great Stone Dragon,Inkrunner,7,6,0.8571428571428571,0.260836788541274
Great Stone Dragon,Maurice's Workshop,7,6,0.8571428571428571,0.260836788541274
Great Stone Dragon,Oswald - The Lucky Rabbit,7,6,0.8571428571428571,0.260836788541274
Great Stone Dragon,Sisu - Daring Visitor,7,6,0.8571428571428571,0.260836788541274
Great Stone Dragon,Sisu - Empowered Sibling,7,6,0.8571428571428571,0.260836788541274
Great Stone Dragon,Vitalisphere,7,6,0.8571428571428571,0.260836788541274
Maui's Fish Hook,Unconventional Tool,7,6,0.8571428571428571,0.260836788541274
Oswald - The Lucky Rabbit,Under the Sea,7,6,0.8571428571428571,0.260836788541274
Brawl,Lucky Dime,48,41,0.8541666666666666,0.25786059806508355
Fishbone Quill,Ruby Chromicon,41,35,0.8536585365853658,0.25735246798378275
Lucky Dime,Sisu - Daring Visitor,121,103,0.8512396694214877,0.25493360081990457
Lucky Dime,Sisu - Empowered Sibling,114,97,0.8508771929824561,0.25457112438087304
Ruby Chromicon,Sisu - Empowered Sibling,40,34,0.85,0.2536939313984169
Lucky Dime,Oswald - The Lucky Rabbit,133,113,0.849624060150376,0.25331799154879286
Lucky Dime,Scrooge McDuck - Resourceful Miser,126,107,0.8492063492063492,0.2529002806047661
Lucky Dime,Maurice's Workshop,138,117,0.8478260869565217,0.25152001835493865
Lucky Dime,Vitalisphere,105,89,0.8476190476190476,0.2513129790174645
Gold Coin,Sisu - Empowered Sibling,111,94,0.8468468468468469,0.2505407782452638
Lucky Dime,Pawpsicle,142,120,0.8450704225352113,0.24876435393362817
Lucky Dime,Sapphire Coil,135,114,0.8444444444444444,0.24813837584286136
Inkrunner,Lucky Dime,129,108,0.8372093023255814,0.24090323372399836
Sisu - Empowered Sibling,Unconventional Tool,169,141,0.834319526627219,0.2380134580256359
Oswald - The Lucky Rabbit,Ruby Chromicon,42,35,0.8333333333333334,0.2370272647317503
Belle - Apprentice Inventor,Ruby Chromicon,30,25,0.8333333333333334,0.2370272647317503
Lucky Dime,Maui - Hero to All,24,20,0.8333333333333334,0.2370272647317503
Might Solve a Mystery,Unconventional Tool,24,20,0.8333333333333334,0.2370272647317503
Daisy Duck - Donald's Date,Nani - Stage Manager,12,10,0.8333333333333334,0.2370272647317503
