event_type,games_with_event,avg_count_in_losses,avg_count_in_wins,loss_minus_win_count
GAME_CONCEDED,255,1.6235294117647059,0.0,1.6235294117647059
CARD_RETURNED,106,3.297872340425532,2.2711864406779663,1.0266858997475659
LORE_GAINED,111,3.1333333333333333,2.5,0.6333333333333333
UNDO_ACCEPTED,11,1.8,1.3333333333333333,0.4666666666666668
ABILITY_CONDITION_FAILED,40,2.3333333333333335,1.92,0.41333333333333355
FREE_UNDO,39,2.25,1.8888888888888888,0.36111111111111116
CARD_BOOSTED,14,1.75,1.4,0.3500000000000001
UNDO_REQUESTED,18,1.6666666666666667,1.3333333333333333,0.3333333333333335
DAMAGE_REMOVED,126,2.25,2.0428571428571427,0.2071428571428573
CARD_DISCARDED,240,5.351351351351352,5.294573643410852,0.05677770794049941
QUICK_CHAT,79,2.2888888888888888,2.5,-0.21111111111111125
ABILITY_CANCELLED,21,1.5,1.7894736842105263,-0.2894736842105263
INITIAL_HAND,725,11.380952380952381,11.726218097447795,-0.3452657164954136
MULLIGAN,729,10.754208754208754,11.44675925925926,-0.6925505050505052
CARD_ATTACK,526,19.806763285024154,20.65203761755486,-0.8452743325307068
SUPPORT_GIVEN,13,2.0,3.111111111111111,-1.1111111111111112
CARD_DESTROYED,614,5.612,6.846153846153846,-1.2341538461538457
TIMER_STARTED,722,16.61952861952862,18.07294117647059,-1.45341255694197
CARD_LOOKED_AT,52,4.571428571428571,6.193548387096774,-1.6221198156682028
TURN_DRAW,722,12.390572390572391,14.390588235294118,-2.0000158447217267
TURN_READY,725,13.084175084175085,15.142523364485982,-2.058348280310897
TURN_SET,725,13.084175084175085,15.142523364485982,-2.058348280310897
TURN_START,725,13.084175084175085,15.142523364485982,-2.058348280310897
CARD_INKED,724,10.801346801346801,13.142857142857142,-2.3415103415103413
TIMER_INCREMENT,724,11.936026936026936,14.29976580796253,-2.3637388719355936
TURN_END,724,11.936026936026936,14.29976580796253,-2.3637388719355936
DAMAGE_DEALT,226,8.194174757281553,10.65040650406504,-2.4562317467834873
VICTORY_CLAIMED,6,0.0,2.5,-2.5
CARD_REVEALED,571,6.552036199095022,9.651428571428571,-3.099392372333549
CARD_QUEST,564,6.601063829787234,10.127659574468085,-3.5265957446808507
CARD_PUT_INTO_INKWELL,387,4.3090909090909095,8.1985559566787,-3.88946504758779
ABILITY_ACTIVATED,449,5.793333333333333,11.033444816053512,-5.240111482720179
CARD_DRAWN,670,12.774436090225564,24.89851485148515,-12.124078761259586
CARD_PLAYED,723,20.46127946127946,32.821596244131456,-12.360316782851996
ABILITY_TRIGGERED,720,34.108108108108105,72.41509433962264,-38.306986231514536
