card_name,games_with_card,losses_with_card,loss_rate_with_card,loss_lift_vs_baseline,loss_odds_ratio_approx
Hades - Looking for a Deal,13,2,0.15384615384615385,-0.249847777552263,0.3810975612530497
Maleficent - Monstrous Dragon,7,1,0.14285714285714285,-0.260836788541274,0.35387648381483516
Nani's Payback,7,1,0.14285714285714285,-0.260836788541274,0.35387648381483516
Tinker Bell - Giant Fairy,7,1,0.14285714285714285,-0.260836788541274,0.35387648381483516
Robin Hood - Beloved Outlaw,15,2,0.13333333333333333,-0.2703605980650835,0.33028488336838263
The Queen's Castle - Mirror Chamber,11,1,0.09090909090909091,-0.312784840489326,0.2251950268341849
Iago - Giant Spectral Parrot,15,1,0.06666666666666667,-0.3370272647317502,0.16514368024321477
Finders Keepers,6,0,0.0,-0.40369393139841686,2.477118046877518e-06
Grab Your Sword,6,0,0.0,-0.40369393139841686,2.477118046877518e-06
"I Find 'Em, I Flatten 'Em",5,0,0.0,-0.40369393139841686,2.477118046877518e-06
Rat Capone - Rodent Gangster,5,0,0.0,-0.40369393139841686,2.477118046877518e-06
